id,nombre,intersec,lin_sent_n,metrobus,lon,lat
1,Liniers,,34 - 109 - 166,Metrobus Juan B. Justo,-58.5261125181,-34.6382666942
2,Velez Sarsfield,,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.5201431945,-34.6334969244
3,Polideportivo Velez Sarsfield,JUSTO JUAN B. & GARCIA JUAN AGUSTIN,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.5139131012,-34.6334578211
4,Cortina,JUSTO JUAN B. & CORTINA,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.5067296378,-34.6343410771
5,Av. Lope de Vega,JUSTO JUAN B. & LOPE DE VEGA,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.5010420988,-34.6322077868
6,Carrasco,JUSTO JUAN B. & CARRASCO,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.4948536966,-34.6295372758
7,Av. Segurola,JUSTO JUAN B. & SEGUROLA,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.4910956463,-34.6270110383
8,Chivilcoy,JUSTO JUAN B. & CHIVILCOY,34 - 166,Metrobus Juan B. Justo,-58.4859240774,-34.6251438295
9,Concordia,JUSTO JUAN B. & CONCORDIA,34 - 166,Metrobus Juan B. Justo,-58.4808176438,-34.6220415598
10,Av. Nazca,JUSTO JUAN B. & NAZCA,34 - 166,Metrobus Juan B. Justo,-58.4760963334,-34.6181025949
11,Artigas,JUSTO JUAN B. & ARTIGAS JOSE GERVASIO GRAL,34 - 166,Metrobus Juan B. Justo,-58.4722554944,-34.61382397
12,Boyaca,JUSTO JUAN B. & BOYACA,34 - 110 - 166,Metrobus Juan B. Justo,-58.4678482158,-34.6113038226
13,Av. Donato Alvarez,JUSTO JUAN B. & ALVAREZ DONATO Tte. Gral.,34 - 110 - 166,Metrobus Juan B. Justo,-58.4627046319,-34.6073730119
14,Av. San Martín,JUSTO JUAN B. & SAN MARTIN AV.,34 - 109 - 110 - 166,Metrobus Juan B. Justo,-58.458473925,-34.6044918451
15,Av. Honorio Pueyrredón,JUSTO JUAN B. & PUEYRREDON HONORIO DR.,34 - 109 - 166,Metrobus Juan B. Justo,-58.4520522783,-34.6001204427
16,Murillo,JUSTO JUAN B. & MURILLO,34 - 109 - 166,Metrobus Juan B. Justo,-58.4476901038,-34.5970914096
17,Av. Corrientes,JUSTO JUAN B. & CORRIENTES,34 - 166,Metrobus Juan B. Justo,-58.4443001538,-34.5947640308
18,Aguirre,JUSTO JUAN B. & AGUIRRE,34 - 166,Metrobus Juan B. Justo,-58.4407030186,-34.5922669286
20,Honduras,JUSTO JUAN B. & HONDURAS,34 - 166,Metrobus Juan B. Justo,-58.4347532123,-34.585372195
21,Guatemala,JUSTO JUAN B. & GUATEMALA,34 - 166,Metrobus Juan B. Justo,-58.4300412554,-34.5818796848
23,Pacífico,BULLRICH INT AV & SANTA FE,34 - 166,Metrobus Juan B. Justo,-58.4265153541,-34.5775832414
27,Estados Unidos,Entre Carlos Calvo y Estados Unidos,10 -- 17 -- 59,Metrobus 9 de Julio,-58.3808540572,-34.6188767141
28,Independencia,Entre Estados Unidos e Independencia,45 -- 70,Metrobus 9 de Julio,-58.3808827691,-34.6178904774
29,Chile,Entre Independencia y Chile,9 -- 91 -- 100,Metrobus 9 de Julio,-58.3809449928,-34.6166794883
30,México,Entre Chile y México,67 -- 98 -- 129,Metrobus 9 de Julio,-58.3809905284,-34.615509773
31,Venezuela,Entre México y Venezuela,10 -- 17 -- 59,Metrobus 9 de Julio,-58.3810303569,-34.6145006069
32,Belgrano,Entre Venezuela y Belgrano,45 -- 70 -- 100,Metrobus 9 de Julio,-58.3810424602,-34.6134730732
33,Alsina,Entre Moreno y Alsina,129,Metrobus 9 de Julio,-58.3811717275,-34.6110708914
34,Yrigoyen,Entre Alsina e Hipólito Yrigoyen,9 -- 91 -- 67,Metrobus 9 de Julio,-58.3812555665,-34.6099440879
35,Mitre,Entre Rivadavia y Bartolomé Mitro,10 -- 17 -- 59,Metrobus 9 de Julio,-58.3813918662,-34.607584609
36,Juan D. Perón,Entre Bartolomé Mitre y Perón,45 -- 70 -- 100,Metrobus 9 de Julio,-58.3814587398,-34.6064568154
37,Obelisco Sur,Entre Juan D. Perón y Sarmiento,9 -- 67 -- 129,Metrobus 9 de Julio,-58.3815394202,-34.6053778859
38,Obelisco Norte,Entre Lavalle y Tucumán,100 -- 17 -- 59,Metrobus 9 de Julio,-58.3817535578,-34.601725442
39,Teatro Colón,Entre Tucumán y Viamonte,45 -- 70 -- 10,Metrobus 9 de Julio,-58.3818123104,-34.60058043
40,Córdoba,Entre Viamonte y Av Córdoba,9 -- 67,Metrobus 9 de Julio,-58.3818550523,-34.5994274673
41,Paraguay,Entre Av Córdoba y Paraguay,10 -- 17 -- 59,Metrobus 9 de Julio,-58.3818950222,-34.5982531573
42,Marcelo T. de Alvear,Entre Paraguay y Marcelo T. de Alvear,129,Metrobus 9 de Julio,-58.3820015194,-34.5971201764
43,Santa Fe,Entre Marcelo T. de Alvear y Av. Santa Fe,100 -- 70 -- 67,Metrobus 9 de Julio,-58.3821303402,-34.5958450051
44,Constitución,,,Metrobus Sur,-58.3796123629,-34.6277806223
45,Combate de los Pozos,Entre Combate de los Pozos y Entre Ríos,,Metrobus Sur - Ramal Fernández de la Cruz,-58.3915523092,-34.6272570886
46,Pichincha,Entre Pasco y Pichincha,,Metrobus Sur - Ramal Fernández de la Cruz,-58.3960647227,-34.6279561267
47,Jujuy,Entre jujuy y Alberti,,Metrobus Sur - Ramal Fernández de la Cruz,-58.4008428791,-34.6286641106
48,La Rioja,Entre La rioja y Gral Urquiza,,Metrobus Sur - Ramal Fernández de la Cruz,-58.4072238226,-34.6311796897
49,Sánchez de Loria,Entre 24 de Noviembre y Sánchez de Loria,143,Metrobus Sur - Ramal Fernández de la Cruz,-58.4102738064,-34.633708222
50,Boedo,Entre Álzaga y Boedo,143,Metrobus Sur - Ramal Fernández de la Cruz,-58.4152811319,-34.6369401914
51,Caseros,Entre Caseros y Trole,23 - 101 - 143,Metrobus Sur - Ramal Fernández de la Cruz,-58.4193247412,-34.6400397072
52,Av La Plata,Entre Gual y Riestra,23 - 101 - 143,Metrobus Sur - Ramal Fernández de la Cruz,-58.4231801245,-34.6431013539
53,Del Barco Centenera,Entre Lanza y Del Barco Centenera,101 - 143,Metrobus Sur - Ramal Fernández de la Cruz,-58.4279381979,-34.6475321915
54,Perito Moreno,Entre Mom y Erezcano,101 - 143 -150,Metrobus Sur - Ramal Fernández de la Cruz,-58.4311685093,-34.6503572341
55,Polideportivo San Lorenzo,Entre Charrúa y Berg,46 - 101 - 143 -150,Metrobus Sur - Ramal Fernández de la Cruz,-58.4344920811,-34.6530477275
56,Varela,Entre Pedernera y Castañares,,Metrobus Sur - Ramal Fernández de la Cruz,-58.4381873347,-34.655316571
57,Lafuente,Entre San Pedrito y José Martí,23 - 76 - 101 - 143 - 150,Metrobus Sur - Ramal Fernández de la Cruz,-58.4424416757,-34.6593124134
58,Laguna,Entre Laguna y Lacarra,101 - 143 -  150,Metrobus Sur - Ramal Fernández de la Cruz,-58.4490440334,-34.6643276542
59,Cecilia Grierson,Entre Lacarra y Escalada,101 - 143 -  150,Metrobus Sur - Ramal Fernández de la Cruz,-58.4547170641,-34.6691887806
60,Escalada,Entre Escalada y Pola,101 - 114 - 143 - 150,Metrobus Sur - Ramal Fernández de la Cruz,-58.4619023018,-34.6755866124
61,Pola,Entre Founrouge y Larraya,101 - 114 - 143 - 150,Metrobus Sur - Ramal Fernández de la Cruz,-58.4655069673,-34.678910244
62,Lisandro de la Torre,Fernández de la Cruz y Lisandro de la Torre,36 - 143,Metrobus Sur - Ramal Fernández de la Cruz,-58.4723019052,-34.6848291458
63,Piedrabuena,Entre Piedrabuena y Guaminí,36 - 143 - 150,Metrobus Sur - Ramal Fernández de la Cruz,-58.4757022684,-34.6879008328
64,Montiel,Fernández de la Cruz y Montiel,36 - 143,Metrobus Sur - Ramal Fernández de la Cruz,-58.4768627289,-34.6889468285
65,José L. Suárez,Entre Saladillo y José León Suárez,36 - 143,Metrobus Sur - Ramal Fernández de la Cruz,-58.4780814724,-34.6900538002
66,Puente La Noria,,,Metrobus Sur,-58.4618089711,-34.7045196956
67,Gral Paz,Roca Cnel y Gral Paz,91 - 101 - 114 - 117 - 141,Metrobus Sur - Ramal Coronel Roca,-58.4697644399,-34.6977953501
68,Guaminí,Entre Guaminí y Montiel,91 - 101 - 114 - 117 - 141,Metrobus Sur - Ramal Coronel Roca,-58.4673916228,-34.6956224438
69,Piedrabuena,Entre Piedrabuena y Guaminí,91 - 101 - 114 - 117,Metrobus Sur - Ramal Coronel Roca,-58.4663336777,-34.6946518718
70,Lisandro de la Torre,Entre Lisandro de la Torre y Timoteo Gordillo,47 - 91 - 114 - 117 -150,Metrobus Sur - Ramal Coronel Roca,-58.4635700566,-34.6921412098
71,Larrazábal,Entre Pasaje Roca y Larrazábal,,Metrobus Sur - Ramal Coronel Roca,-58.4574292184,-34.6861371824
72,Escalada,Entre Escalada y Pasaje Roca,91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4530877884,-34.6825025235
73,Estadio Parque Roca,Entre Escalada y Lacarra,91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4481350992,-34.6763542216
74,Parque Roca,Entre Escalada y Lacarra,91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4453918656,-34.672011968
75,Mariano Acosta,Entre Pergamino y Mariano Acosta,91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4404169574,-34.6664589094
76,Lacarra,Entre Mariano Acosta y Lacarra,91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4423465028,-34.668188322
77,Lafuente,Entre San Pedrito y José Martí,,Metrobus Sur - Ramal Coronel Roca,-58.4371509663,-34.663396169
78,Varela,Entre Varela y Culpina,,Metrobus Sur - Ramal Coronel Roca,-58.4330134431,-34.6614990532
79,Berg,Entre Berg y Rivera Indarte,,Metrobus Sur - Ramal Coronel Roca,-58.4295487256,-34.6599187007
80,Bonorino,Entre Bonorino Esteban y Charrúa,,Metrobus Sur - Ramal Coronel Roca,-58.4263593337,-34.658503089
81,Vedia,Rabanal y Vedia Agustín,,Metrobus Sur - Ramal Coronel Roca,-58.4218123503,-34.6563054218
82,Sáenz,Entre Sáenz y Del Barco Centenera,,Metrobus Sur - Ramal Coronel Roca,-58.4173038474,-34.6549521058
83,Pompeya,Entre Luppi y Lynch,91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4163666602,-34.6516789352
84,Grito de Asencio,Entre Famatina y Grito de Asencio,115,Metrobus Sur - Ramal Coronel Roca,-58.4157470426,-34.647598157
85,José C. Paz,Entre Andrés Ferreira y José C Paz,115,Metrobus Sur - Ramal Coronel Roca,-58.4141833612,-34.6450574185
86,Cortejarena,Entre Puna y Chutro,115,Metrobus Sur - Ramal Coronel Roca,-58.4128675242,-34.6421498867
87,Bathurst,Entre Cátulo Castillo y Rondeau,115,Metrobus Sur - Ramal Coronel Roca,-58.4106940274,-34.6362955837
88,Brasil,Entre 24 de Noviembre y Sánchez de Loria,6 - 97 - 143,Metrobus Sur - Ramal Coronel Roca,-58.4095694524,-34.6347884205
89,La Rioja,Entre La Rioja y Gral Urquiza,6 - 97 -143,Metrobus Sur - Ramal Coronel Roca,-58.4066852353,-34.6339017091
90,Jujuy,Entre Jujuy y Catamarca,6 - 97 -143,Metrobus Sur - Ramal Coronel Roca,-58.4009974665,-34.6317747254
91,Garraham,Entre Pichincha y Combate de los Pozos,6 - 97 -143,Metrobus Sur - Ramal Coronel Roca,-58.3953996682,-34.6302046171
92,Entre Ríos,Entre Pichincha y Combate de los Pozos,6 - 97 -143,Metrobus Sur - Ramal Coronel Roca,-58.392060919,-34.6295830839
93,Soldado de la Frontera,Entre Soldado de la Frontera y Racedo,47 - 91 - 114 - 115 - 117 - 141 - 150,Metrobus Sur - Ramal Coronel Roca,-58.4612317858,-34.6899725919
94,Varela,Entre Pedernera y Castañares,23 - 76 - 101 - 143 - 150,Metrobus Sur - Ramal Fernández de la Cruz,-58.4378005597,-34.655649339
95,Larrazábal,Entre Pasaje Roca y Larrazábal,91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4569928853,-34.6864312346
96,Lafuente,Entre San Pedrito y José Martí,76 - 91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4362110014,-34.6643502308
97,Varela,Entre Varela y Culpina,76 - 91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4323153457,-34.662350038
98,Berg,Entre Berg y Rivera Indarte,76 - 91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4289969168,-34.660503247
99,Bonorino,Entre Bonorino Esteban y Charrúa,76 - 91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4260677991,-34.6588639101
100,Vedia,Rabanal y Vedia Agustín,76 - 91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4215615382,-34.6567098381
101,Sáenz,Entre Sáenz y Del Barco Centenera,91 - 115,Metrobus Sur - Ramal Coronel Roca,-58.4172340265,-34.6551411042
102,Roosvelt,Entre Roosvelt y Manuel Ugarte,41 - 57 - 60 - 194,Metrobus Norte - Av Cabildo,-58.4611659662,-34.5568444022
103,Ugarte,Entre Manuel Ugarte y Av Congreso,59 - 68 - 133 - 152 - 168,Metrobus Norte - Av Cabildo,-58.4620769062,-34.5558897987
104,Congreso,Entre Av Congreso y Quesada,29 - 60 - 168 - 184,Metrobus Norte - Av Cabildo,-58.4629802344,-34.5549540293
105,Congreso,Entre Av Congreso y Quesada,,Metrobus Norte - Av Cabildo,-58.4630865078,-34.5550168324
106,Quesada,Entre Quesada e Iberá,,Metrobus Norte - Av Cabildo,-58.4640884953,-34.5540119706
107,Iberá,Entre Guayra y Campos Salles,60,Metrobus Norte - Av Cabildo,-58.4653940674,-34.5523350974
108,Iberá,Entre Iberá y Guayra,59 - 68 - 152 - 161,Metrobus Norte - Av Cabildo,-58.4647640583,-34.5530950311
109,Campos Salles,Entre Campos Salles y Manuela Pedraza,29 - 133 - 168 - 184,Metrobus Norte - Av Cabildo,-58.4659557511,-34.5516191245
110,Manuela Pedraza,Entre Manuela Pedraza y Juana Azurduy,,Metrobus Norte - Av Cabildo,-58.4664187651,-34.5512925334
111,Juana Azurduy,Entre Juana Azurduy y Núñez,,Metrobus Norte - Av Cabildo,-58.4670107926,-34.5505263119
112,Núñez,Entre Juana Azurduy y Núñez,59 - 60 - 68 - 133,Metrobus Norte - Av Cabildo,-58.4672081197,-34.5500301575
113,Núñez,Entre Núñez y Crisólogo Larralde,152 - 161 - 168 - 184,Metrobus Norte - Av Cabildo,-58.4678153149,-34.5493141741
114,Crisólogo Larralde,Entre Crisólogo Larralde y Av Comodoro Rivadavia,57 - 194,Metrobus Norte - Av Cabildo,-58.4683314192,-34.548654715
115,Manzanares,Entre Av García del Río y Manzanares,,Metrobus Norte - Av Cabildo,-58.4693256732,-34.5475995667
116,Vilela,Entre Paroissien y Vilela,59 - 68 - 152 - 161,Metrobus Norte - Av Cabildo,-58.4701615418,-34.5463433407
117,Besares,Entre Vilela y Besares,60 - 133 - 168 - 184,Metrobus Norte - Av Cabildo,-58.4707022707,-34.5456179261
118,Ruiz Huidobro,Entre Besares y Ruiz Huidobro,,Metrobus Norte - Av Cabildo,-58.4713368189,-34.5449365729
119,Correa,Entre Ruiz Huidobro y Correa,,Metrobus Norte - Av Cabildo,-58.4718756307,-34.5442080129
120,Ramallo,Entre Correa y Ramallo,59 - 68 - 152 - 161,Metrobus Norte - Av Cabildo,-58.4723005776,-34.5434166559
121,Arias,Entre Ramallo y Arias,60 - 133 - 168 - 184,Metrobus Norte - Av Cabildo,-58.4728621391,-34.5426755288
122,Deheza,Entre Arias y Deheza,,Metrobus Norte - Av Cabildo,-58.4735906596,-34.5418904218
123,Pico,Entre Deheza y Pico,,Metrobus Norte - Av Cabildo,-58.4741228925,-34.5411523235
124,Gral Paz,Debajo de la Av Gral Paz,19 - 71 - 161 - 130 - 152 - 184,Metrobus Norte - Av Cabildo,-58.4757836184,-34.5388316735
125,Gral Paz,Debajo de la Av Gral Paz,,Metrobus Norte - Av Cabildo,-58.4759126484,-34.5388881828
126,Gral Paz,Debajo de la Av Gral Paz,21 - 59 - 60 - 68 - 133 - 151 - 168,Metrobus Norte - Av Cabildo,-58.4756242279,-34.5387563261
127,Gral Paz,Debajo de la Av Gral Paz,,Metrobus Norte - Av Cabildo,-58.4760796299,-34.5389698092
128,Laprida,Entre Aristóbulo del Valle y Francisco Narciso de Laprida,19 - 59 - 60 -71 - 130 - 152,Metrobus Norte - Av Maipú (provincia),-58.4772934125,-34.5359048553
129,Alsina,Entre Narciso de Laprida y Adolfo Alsina,21 - 161 - 168 - 184 - 203 - 314 - 365,Metrobus Norte - Av Maipú (provincia),-58.4777865364,-34.5349376199
130,Álvarez,Entre Adolfo Alsina y Agustín Álvarez,,Metrobus Norte - Av Maipú (provincia),-58.4783707266,-34.5340206135
131,Lavalle,Entre Agustín Álvarez y Gral Lavalle,,Metrobus Norte - Av Maipú (provincia),-58.4788562477,-34.5331036174
132,Las Heras,Entre Gral Lavalle y Las Heras,19 - 59 - 60 - 71 - 130 - 152 - 168,Metrobus Norte - Av Maipú (provincia),-58.4791899697,-34.5321301164
133,Guemes,Entre Las Heras y Guemes,21 - 161 - 184 - 203 - 314 - 365,Metrobus Norte - Av Maipú (provincia),-58.4796906369,-34.5311565913
134,Melo,Entre Guemes y Melo,,Metrobus Norte - Av Maipú (provincia),-58.4803278862,-34.5301704837
135,Haedo,Entre Melo y Haedo,,Metrobus Norte - Av Maipú (provincia),-58.4807982026,-34.5293288458
136,Santa Rosa,Entre Martín J. Haedo y Santa Rosa,19 - 59 - 71 - 152,Metrobus Norte - Av Maipú (provincia),-58.4813063795,-34.5281606211
137,Roca,Entre Santa Rosa y Roca,60 - 130 - 168 - 203 - 314 -365,Metrobus Norte - Av Maipú (provincia),-58.4817387412,-34.5273566673
138,Urquiza,Entre Roca y Urquiza,,Metrobus Norte - Av Maipú (provincia),-58.4823911333,-34.5264521907
139,Vergara,Entre Urquiza y Vergara,,Metrobus Norte - Av Maipú (provincia),-58.4829220869,-34.5254974877
140,San Martín,Entre Vergara y Gral San Martín,19 - 60 - 71 - 130 - 168,Metrobus Norte - Av Maipú (provincia),-58.4833695259,-34.5244109086
141,Arenales,Entre Gral San Martín y Arenales,59 - 152,Metrobus Norte - Av Maipú (provincia),-58.4838928673,-34.5234562023
142,Libertad,Entre Arenales y Libertad,203 - 314 - 365,Metrobus Norte - Av Maipú (provincia),-58.4843858563,-34.5225454617
143,Yrigoyen,Entre Libertad e Hipólito Yrigoyen,,Metrobus Norte - Av Maipú (provincia),-58.4850457433,-34.5215404829
144,Italia,Entre Hipólito Yrigoyen e Italia,,Metrobus Norte - Av Maipú (provincia),-58.4856676255,-34.5203533766
145,Malaver,Entre Italia y Antonio Malaver,19 - 21 - 59 - 60 - 71 - 152 - 203 - 314 - 365,Metrobus Norte - Av Maipú (provincia),-58.4862439233,-34.519021827
146,Paroissien,Entre Av García del Río y Paroissien,,Metrobus Norte - Av Cabildo,-58.4697346547,-34.547045195
